cd_s1,cd_s2,cd_s3,distance,hp_enemy,hp_me,level_s1,level_s2,level_s3,mp_enemy,mp_me,output
0,0,0,1012,595,600,1,0,0,394,310,101
0,0,0,1042,541,620,1,1,0,394,251,101
0,0,0,1175,529,620,1,1,0,427,302,101
0,0,0,1236,522,660,2,1,0,460,331,101
0,0,0,780,587,700,2,1,0,460,191,100
0,0,0,1135,738,755,3,1,1,526,249,100
0,7,0,471,731,759,3,1,1,526,249,101
8,6,0,471,550,780,3,1,1,526,151,100
7,5,0,471,497,776,3,1,1,526,193,100
6,4,0,706,437,780,3,1,1,526,217,100
5,3,0,791,383,780,3,1,1,526,219,100
3,1,0,889,332,780,3,1,1,526,222,100
0,5,0,1008,286,780,3,1,1,526,132,101
4,1,0,880,111,780,3,1,1,526,9,100
0,6,0,871,820,832,4,2,1,592,180,101
0,0,0,1146,797,824,4,3,1,625,133,100
0,1,0,674,1000,1000,4,4,1,988,790,100
0,0,0,771,941,1000,4,4,1,988,796,100
0,7,0,519,876,990,4,4,1,988,822,101
0,6,0,519,659,979,4,4,1,988,680,101
7,6,0,519,404,956,4,4,1,988,539,100
0,7,0,318,1000,1100,4,4,2,988,568,101
8,7,0,318,1000,1100,4,4,2,988,423,100
8,6,0,318,506,1100,4,4,2,988,429,100
